"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"La'Mical Perine","RB",8,47,169,3.6,1,12,10,49,4.9,0,0,0,1,37.8,NA,88,81,2
"Jordan Howard","RB",5,28,33,1.18,4,1,1,-3,-3,0,1,0,4,28,"rb",8,25,1
"Kyle Juszczyk","RB",9,7,36,5.14,2,15,10,118,11.8,0,0,0,2,37.4,"fb",20,16,0
"Benny Snell Jr.","RB",8,47,168,3.57,2,3,2,0,0,0,2,1,2,28.8,NA,88,80,4
"Sony Michel","RB",3,26,173,6.65,1,3,2,23,11.5,0,0,0,1,27.6,"rb",48,125,3
"Dion Lewis","RB",9,19,59,3.11,1,22,14,89,6.36,1,1,1,2,38.8,NA,34,25,0
"James White","RB",6,16,51,3.19,0,30,25,195,7.8,0,1,0,0,49.6,NA,31,20,0
"Duke Johnson","RB",6,34,95,2.79,1,17,14,109,7.79,0,2,1,1,38.4,NA,26,69,1
"Jamycal Hasty","RB",7,36,135,3.75,1,6,5,37,7.4,0,1,0,1,28.2,NA,99,36,0
"Jalen Richard","RB",8,14,83,5.93,1,15,12,90,7.5,0,0,0,1,35.3,NA,46,37,1
"Chris Thompson","RB",7,7,20,2.86,0,23,20,146,7.3,1,0,0,1,42.6,NA,10,10,0
"Kalen Ballage","RB",4,18,82,4.56,1,13,11,82,7.45,0,0,0,1,33.4,NA,47,35,0
"Travis Homer","RB",8,25,88,3.52,0,7,6,71,11.83,1,0,0,1,27.9,NA,56,32,2
"Darrel Williams","RB",9,20,80,4,1,14,9,60,6.67,0,0,0,1,31,NA,51,29,0
"Peyton Barber","RB",8,38,81,2.13,2,2,1,4,4,0,0,0,2,21.5,"rb",44,37,0
"Matt Breida","RB",7,37,128,3.46,0,8,7,79,11.29,0,1,0,0,27.7,NA,63,65,0
"Le'Veon Bell","RB",5,35,128,3.66,0,7,7,65,9.29,0,1,0,0,26.3,NA,58,70,5
"Cam Akers","RB",6,35,148,4.23,0,2,2,23,11.5,0,0,0,0,19.1,"rb",41,107,3
"Jeremy McNichols","RB",8,23,147,6.39,0,7,4,19,4.75,0,0,0,0,20.6,NA,75,72,4
"Alec Ingold","RB",8,2,2,1,0,11,9,97,10.78,1,0,0,1,24.9,"fb",0,2,0
