Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PAtt,PYds,PTD,Int,RAtt,RYds,RYA,RTD,Tgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,TD,2PM,2PP,PPR
143,Jarvis Landry\LandJa00,CLE,WR,28,8,7,2,2,56,1,0,2,4,2,0,50,33,419,12.7,0,0,0,0,,,81.5
144,Hunter Renfrow\RenfHu00,LVR,WR,25,8,2,0,0,0,0,0,0,0,,0,37,27,369,13.67,2,1,0,2,,,75.9
145,Tre'Quan Smith\SmitTr03,NOR,WR,24,8,5,0,0,0,0,0,0,0,,0,34,26,305,11.73,3,1,0,3,,,74.5
146,Mitchell Trubisky\TrubMi00,CHI,QB,26,4,3,51,86,560,6,3,9,90,10,0,0,0,0,,0,1,0,0,,,49.4
147,Diontae Johnson\JohnDi01,PIT,WR,24,7,7,0,0,0,0,0,2,13,6.5,0,54,31,310,10,3,1,1,3,,,79.3
148,Dalton Schultz\SchuDa00,DAL,TE,24,9,7,0,0,0,0,0,0,0,,0,55,35,383,10.94,2,1,1,2,,,83.3
149,Evan Engram\EngrEv00,NYG,TE,26,9,7,0,0,0,0,0,5,21,4.2,1,64,36,332,9.22,1,0,0,2,,,83.3
150,Wayne Gallman\GallWa00,NYG,RB,26,8,3,0,0,0,0,0,51,222,4.35,3,14,12,68,5.67,0,0,0,3,,,59
151,Darnell Mooney\MoonDa00,CHI,WR,23,9,3,0,0,0,0,0,1,-3,-3,0,54,31,348,11.23,2,1,0,2,,,77.5
152,Gabriel Davis\DaviGa01,BUF,WR,21,9,5,0,0,0,0,0,1,0,0,0,28,19,275,14.47,3,0,0,3,,,64.5
153,Kenny Golladay\GollKe00,DET,WR,27,5,5,0,0,0,0,0,0,0,,0,32,20,338,16.9,2,0,0,2,,,65.8
154,Kyle Allen\AlleKy00,WAS,QB,24,4,4,60,87,610,4,1,7,26,3.71,1,0,0,0,,0,1,1,1,,,45
155,Eric Ebron\EbroEr00,PIT,TE,27,8,6,0,0,0,0,0,0,0,,0,43,29,285,9.83,3,1,1,3,,,73.5
156,Austin Ekeler\EkelAu00,LAC,RB,25,4,4,0,0,0,0,0,49,248,5.06,1,17,17,144,8.47,0,0,0,1,,,62.2
157,Mike Gesicki\GesiMi00,MIA,TE,25,8,5,0,0,0,0,0,0,0,,0,36,22,331,15.05,2,0,0,2,,,67.1
158,Jalen Guyton\GuytJa01,LAC,WR,23,8,5,0,0,0,0,0,1,-4,-4,0,19,10,270,27,3,0,0,3,,,54.6
159,Joshua Kelley\KellJo01,LAC,RB,23,8,0,0,0,0,0,0,91,292,3.21,1,19,19,141,7.42,0,2,2,1,,,64.3
160,Russell Gage\GageRu00,ATL,WR,24,9,3,0,1,0,0,0,1,-2,-2,0,52,35,379,10.83,1,0,0,1,,,78.7
161,Chris Godwin\GodwCh00,TAM,WR,24,5,5,0,0,0,0,0,0,0,,0,35,28,320,11.43,2,0,0,2,,,72
162,Damien Harris\HarrDa06,NWE,RB,23,5,5,0,0,0,0,0,63,350,5.56,1,2,2,26,13,0,0,0,1,,,45.6
163,Tyler Higbee\HigbTy00,LAR,TE,27,7,7,0,0,0,0,0,0,0,,0,25,20,236,11.8,3,0,0,3,1,,63.6
164,Alexander Mattison\MattAl01,MIN,RB,22,8,1,0,0,0,0,0,69,322,4.67,1,11,9,61,6.78,0,0,0,1,,,53.3
165,Laviska Shenault Jr.\ShenLa00,JAX,WR,22,8,7,0,0,0,0,0,11,54,4.91,0,39,30,323,10.77,1,0,0,1,,,73.7
166,Greg Ward\WardGr02,PHI,WR,25,8,6,0,0,0,0,0,2,-4,-2,0,45,32,243,7.59,3,2,0,3,1,,75.9
167,John Brown\BrowJo02,BUF,WR,30,7,6,0,0,0,0,0,0,0,,0,40,23,314,13.65,2,0,0,2,,,66.4
168,Frank Gore\GoreFr00,NYJ,RB,37,9,8,0,0,0,0,0,108,386,3.57,0,11,8,48,6,0,0,0,0,,,51.4
169,Anthony Miller\MillAn02,CHI,WR,26,9,2,0,0,0,0,0,1,9,9,0,50,32,321,10.03,2,2,1,2,,,75
170,Hunter Henry\HenrHu00,LAC,TE,26,8,8,0,0,0,0,0,0,0,,0,53,33,357,10.82,1,0,0,1,,,74.7
171,Zach Pascal\PascZa00,IND,WR,26,8,8,0,1,0,0,0,0,0,,0,40,24,297,12.38,2,0,0,2,,,65.7
172,Josh Reynolds\ReynJo00,LAR,WR,25,8,6,0,0,0,0,0,0,0,,0,38,22,322,14.64,2,2,1,2,,,64.2
173,Logan Thomas\ThomLo00,WAS,TE,29,8,7,0,0,0,0,0,0,0,,0,46,24,236,9.83,3,0,0,3,,,65.6
174,Kendrick Bourne\BourKe00,SFO,WR,25,8,4,0,0,0,0,0,0,0,,0,40,25,352,14.08,1,0,0,1,,,66.2
175,Darren Fells\FellDa01,HOU,TE,34,8,8,0,0,0,0,0,0,0,,0,21,16,231,14.44,3,0,0,3,,,57.1
176,Danny Amendola\AmenDa00,DET,WR,35,8,3,0,0,0,0,0,1,2,2,0,41,25,401,16.04,0,0,0,0,,,65.3
177,Joe Flacco\FlacJo00,NYJ,QB,35,4,3,59,104,659,4,2,5,20,4,0,0,0,0,,0,1,0,0,,,40.4
178,J.D. McKissic\McKiJ.00,WAS,RB,27,8,3,0,0,0,0,0,35,168,4.8,0,47,34,248,7.29,0,1,1,0,,,73.6
179,Mo Alie-Cox\AlieMo00,IND,TE,27,7,2,0,0,0,0,0,0,0,,0,21,17,274,16.12,2,0,0,2,,,56.4
180,Brian Hill\HillBr02,ATL,RB,25,9,0,0,0,0,0,0,56,243,4.34,1,20,16,111,6.94,0,1,1,1,,,55.4
181,Allen Lazard\LazaAl00,GNB,WR,25,3,3,0,0,0,0,0,2,17,8.5,0,17,13,254,19.54,2,0,0,2,,,52.1
182,Phillip Lindsay\LindPh00,DEN,RB,26,5,4,0,0,0,0,0,53,310,5.85,1,7,2,14,7,0,0,0,1,,,40.4
183,James Washington\WashJa00,PIT,WR,24,8,3,0,0,0,0,0,0,0,,0,30,18,202,11.22,3,0,0,3,,,56.2
184,Mark Ingram\IngrMa01,BAL,RB,31,6,6,0,0,0,0,0,50,225,4.5,2,5,3,25,8.33,0,0,0,2,,,40
185,Braxton Berrios\BerrBr00,NYJ,WR,25,9,2,0,0,0,0,0,1,13,13,0,39,24,223,9.29,2,0,0,2,,,59.6
186,Julian Edelman\EdelJu00,NWE,WR,34,6,1,2,2,38,0,0,2,22,11,0,39,21,315,15,0,0,0,0,,,56.2
