Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
210,Andy Isabella\IsabAn00,ARI,23,,15,1,4,15,0,11,2.8,4,1,0,
211,D'Ernest Johnson\JohnDE04,CLE,23,,16,0,4,21,0,18,4.5,3,0.8,0,
212,Diontae Johnson\JohnDi01,PIT,23,WR,16,12,4,41,2,18,4.5,23,5.8,1,4
213,Tyler Lockett\LockTy00,SEA,27,WR,16,16,4,-5,0,-5,-1.3,0,0,0,
214,Eli Manning\MannEl00,NYG,38,/qb,4,4,4,7,1,5,1.3,2,0.5,0,
215,Jordan Scarlett\ScarJo00,CAR,23,,9,0,4,9,,4,1,5,1.3,0,
216,Anthony Sherman\SherAn00,KAN,31,,16,0,4,9,3,9,2.3,0,0,0,
217,Jonnu Smith\SmitJo01,TEN,24,TE,16,14,4,78,2,7,1.8,71,17.8,1,4
218,Adam Thielen\ThieAd00,MIN,29,WR,10,10,4,6,1,0,0,6,1.5,2,2
219,De'Lance Turner\TurnDe01,MIA,24,,8,0,4,6,,1,0.3,5,1.3,0,
220,Keenan Allen*\AlleKe00,LAC,27,WR,16,16,3,16,1,13,4.3,3,1,0,
221,Odell Beckham Jr.\BeckOd00,CLE,27,WR,16,15,3,10,1,4,1.3,6,2,1,3
222,A.J. Brown\BrowAJ00,TEN,22,WR,16,11,3,60,2,12,4,48,16,1,3
223,Randall Cobb\CobbRa00,DAL,29,wr,15,6,3,11,0,6,2,5,1.7,0,
224,Patrick DiMarco\DiMaPa00,BUF,30,fb,16,4,3,7,0,1,0.3,6,2,0,
225,Phillip Dorsett\DorsPh00,NWE,26,/wr,14,4,3,21,1,18,6,3,1,0,
226,Evan Engram\EngrEv00,NYG,25,TE,8,6,3,7,0,6,2,1,0.3,0,
227,Noah Fant\FantNo00,DEN,22,TE,16,11,3,-12,0,-12,-4,0,0,0,
228,Josh Ferguson\FergJo02,WAS,26,,2,0,3,9,1,9,3,0,0,0,
229,Taylor Gabriel\GabrTa00,CHI,28,WR/wr,9,7,3,20,1,20,6.7,0,0,0,
230,Garrett Gilbert\GilbGa01,CLE,28,,5,0,3,-3,,-3,-1,0,0,0,
231,Ted Ginn Jr.\GinnTe00,NOR,34,WR,16,9,3,18,2,16,5.3,2,0.7,0,
232,Kyle Juszczyk*\JuszKy00,SFO,28,FB,12,12,3,7,1,2,0.7,5,1.7,0,
233,John Kelly\KellJo00,LAR,23,,4,0,3,9,,5,1.7,4,1.3,0,
234,T.J. Logan\LogaT.00,TAM,25,,12,0,3,10,0,6,2,4,1.3,0,
235,David Moore\MoorDa03,SEA,24,,14,1,3,25,1,8,2.7,17,5.7,1,3
236,Nick Mullens\MullNi00,SFO,24,,1,0,3,-3,,-3,-1,0,0,0,
237,Senorise Perry\PerrSe00,BUF,28,,11,0,3,3,,0,0,3,1,1,3
238,Josh Rosen\RoseJo01,MIA,22,,6,3,3,13,0,13,4.3,0,0,0,
239,John Ross\RossJo00,CIN,25,WR,8,8,3,4,0,2,0.7,2,0.7,0,
240,Mohamed Sanu\SanuMo00,2TM,30,,15,12,3,11,1,6,2,5,1.7,0,
241,Matt Schaub\SchaMa00,ATL,38,,6,1,3,-3,0,-3,-1,0,0,0,
242,Vyncint Smith\SmitVy00,NYJ,23,,13,4,3,52,3,44,14.7,8,2.7,0,
243,Diontae Spencer\SpenDi00,DEN,27,,16,2,3,6,0,2,0.7,4,1.3,0,
244,Courtland Sutton *\SuttCo00,DEN,24,WR,16,14,3,17,1,13,4.3,4,1.3,0,
245,Zach Zenner\ZennZa00,3TM,28,,5,0,3,-2,0,-2,-0.7,0,0,0,
246,Nelson Agholor\AghoNe00,PHI,26,WR,11,10,2,7,1,0,0,7,3.5,0,
247,Matt Barkley\BarkMa00,BUF,29,,2,0,2,-4,0,-4,-2,0,0,0,
248,Jordan Berry\BerrJo00,PIT,28,,16,0,2,-8,,-8,-4,0,0,0,
249,Devontae Booker\BookDe00,DEN,27,,16,0,2,9,0,0,0,9,4.5,1,2
250,Blake Bortles\BortBl00,LAR,27,,3,0,2,-9,,-9,-4.5,0,0,0,
251,John Brown\BrowJo02,BUF,29,WR,15,15,2,7,0,5,2.5,2,1,0,
252,DJ Chark*\CharDJ00,JAX,23,WR,15,14,2,20,1,16,8,4,2,0,
253,Keke Coutee\CoutKe00,HOU,22,,9,4,2,14,2,14,7,0,0,0,
254,James Develin\DeveJa00,NWE,31,,2,2,2,3,1,3,1.5,0,0,0,
255,Robert Foster\FostRo01,BUF,25,,13,2,2,29,1,27,13.5,2,1,0,
256,Mike Glennon\GlenMi00,OAK,30,,2,0,2,0,0,0,0,0,0,0,
257,DeAndre Hopkins*+\HopkDe00,HOU,27,WR,15,15,2,18,2,15,7.5,3,1.5,0,
258,Richie James\JameRi00,SFO,24,,16,1,2,-1,0,-3,-1.5,2,1,1,2
259,Julio Jones *\JoneJu02,ATL,30,WR,15,15,2,-3,0,-4,-2,1,0.5,0,
260,Marvin Jones\JoneMa02,DET,29,WR,13,11,2,0,0,-1,-0.5,1,0.5,0,
261,Cooper Kupp\KuppCo00,LAR,26,WR,16,14,2,4,0,4,2,0,0,0,
262,Anthony Levine\LeviAn00,BAL,32,,16,0,2,62,2,62,31,0,0,0,
263,Josh McCown\McCoJo01,PHI,40,,3,0,2,-2,0,-2,-1,0,0,0,
264,Colt McCoy\McCoCo00,WAS,33,/qb,1,1,2,14,1,14,7,0,0,0,
265,D.K. Metcalf\MetcDK00,SEA,22,WR,16,15,2,11,0,4,2,7,3.5,2,1
266,Scott Miller\MillSc01,TAM,22,,10,2,2,16,1,6,3,10,5,0,
267,Ryan Nall\NallRy00,CHI,24,,8,0,2,8,1,3,1.5,5,2.5,0,
268,Zach Pascal\PascZa00,IND,25,WR,16,13,2,16,1,12,6,4,2,0,
269,Breshad Perriman\PerrBr02,TAM,26,/wr,14,4,2,16,1,15,7.5,1,0.5,0,
